Semester Year Name,Semester Year Letter Cd Concat,Semester Nm,Ungrad Grad Cd,All Major Acad Hier Level Nm,Reporting Clg School Short Nm,Academic Division Short Nm,Academic Department Short Nm,Student Headcount,Prorated Student Major Cnt Sum,Student Headcount-DEC,Academic Yr
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,Film and Media,94,82.5,94,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,French,53,38,53,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,German,31,24.16666667,31,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,History of Art,105,95.5,105,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,Italian Studies,10,7.833333333,10,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,Music,114,107.3333333,114,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,Near Eastern Studies,19,14.5,19,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,Philosophy,208,188.5,208,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,Rhetoric,134,106.3333333,134,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,Scandinavian,10,8,10,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,Slavic Languages & Literatures,20,16.5,20,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,South & SE Asian Studies,31,21,31,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,Spanish & Portuguese,113,87.5,113,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,Theater Dance & Perf Stds,80,69.33333333,80,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Biological Sciences Div,Integrative Biology,360,333.8333333,360,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,923,849.6666667,923,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Math & Phys Sciences Div,Astronomy,43,33,43,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Math & Phys Sciences Div,Earth & Planetary Science,37,33.5,37,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Math & Phys Sciences Div,Mathematics,264,219.5,264,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Math & Phys Sciences Div,Other Physical Sciences Pgms,4,4,4,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Math & Phys Sciences Div,Physics,96,74.5,96,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Math & Phys Sciences Div,Statistics,84,64.83333333,84,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Social Sciences Division,African American Studies,34,28.5,34,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Social Sciences Division,Anthropology,264,241.8333333,264,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Social Sciences Division,Economics,677,546.1666667,677,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,138,121.8333333,138,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Social Sciences Division,Gender & Womens Studies,25,20,25,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Social Sciences Division,Geography,60,55,60,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Social Sciences Division,History,396,348.6666667,396,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,517,457.3333333,517,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Social Sciences Division,Linguistics,100,87.33333333,100,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Social Sciences Division,Political Science,769,666.3333333,769,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Social Sciences Division,Psychology,637,555.1666667,637,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Social Sciences Division,Sociology,431,388.8333333,431,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Undeclared,L&S Undeclared,9549,9549,9549,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,768,688.1666667,768,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Natural Resources,Clg of Natural Resources,Ag & Resource Econ & Pol,82,79,82,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",481,466.5,481,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Natural Resources,Clg of Natural Resources,Nutritional Sciences & Tox,236,232,236,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Natural Resources,Clg of Natural Resources,Other Clg of Natural Res Pgms,338,338,338,2006-07
